"","MSA","Overall Change","Black Tract Change","Hispanic Tract Change","White Tract Change","No Majority Tract Change"
"1","Houston-The Woodlands-Sugar Land, TX",-0.0654060459542301,-0.0316126917367844,-0.128960934336077,-0.054687849969022,-0.034176017867652
"2","Los Angeles-Long Beach-Anaheim, CA",-0.0584295342737614,-0.0458697762746677,-0.0876188517187724,-0.0452711165838541,-0.0392036598660012
"3","Miami-Fort Lauderdale-Pompano Beach, FL",-0.0524694140655054,-0.0579264062128339,-0.0935733770069809,-0.0384057115769333,-0.0228813839586591
"4","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-0.0478522679265579,-0.102366329470791,-0.135425773597004,-0.0253445446716169,-0.0748148926276998
"5","New York-Newark-Jersey City, NY-NJ-PA",-0.0466692173812655,-0.0420346817859645,-0.0901254951306345,-0.031020340435357,-0.0495954399301623
"6","Dallas-Fort Worth-Arlington, TX",-0.0327149950793147,-0.0342856998400654,-0.0952562865997768,-0.0117536508977567,-0.0213852927208376
"7","St. Louis, MO-IL",-0.0311721677999174,-0.0947308608057453,-0.154,-0.0130513647662282,-0.0715933964440838
"8","Tampa-St. Petersburg-Clearwater, FL",-0.0279153867230751,-0.0525084965021491,-0.0944692898628217,-0.0176255767106967,-0.0367112091848679
"9","Boston-Cambridge-Newton, MA-NH",-0.0191663797499977,-0.0350404541241623,-0.100817978346999,-0.00585862534143246,-0.0555462070609907
"10","Riverside-San Bernardino-Ontario, CA",-0.0177667629909938,NA,-0.0223382213274321,-0.0381546364472882,0.00573314125170427
"11","Chicago-Naperville-Elgin, IL-IN-WI",-0.0160503961864758,-0.0372949511206784,-0.0722819449619904,0.000108887279895242,-0.00196437740785157
"12","Atlanta-Sandy Springs-Alpharetta, GA",-0.0158791614835263,-0.0133084980767034,-0.0724255456771194,-0.00872485953514911,0.000812634898019056
"13","Washington-Arlington-Alexandria, DC-VA-MD-WV",-0.0108457320699637,-0.0307680616398827,-0.0475201550597802,-6.57965634395907e-05,-0.00487028722255644
"14","San Francisco-Oakland-Berkeley, CA",-0.00195573877308945,-0.0564167691279012,-0.0473249182421918,0.00574905230313092,-0.00228078418541202
"15","Denver-Aurora-Lakewood, CO",-0.00190173162229286,NA,-0.049919922646552,0.00800078507485111,-0.0129865232269356
"16","Phoenix-Mesa-Chandler, AZ",-0.00144303367631977,NA,-0.0355874905101096,0.00997618013949037,0.0039073677173625
"17","Minneapolis-St. Paul-Bloomington, MN-WI",0.0117268954149986,-0.00796393742784616,NA,0.01332644002514,0.0234639988638986
"18","San Diego-Chula Vista-Carlsbad, CA",0.0203578913809731,NA,-0.00516233554714873,0.0251384017577517,0.0373142725939783
"19","Detroit-Warren-Dearborn, MI",0.0204919012543087,-0.013585000848972,-0.057656294748088,0.037108351434396,-0.00353100964899838
"20","Seattle-Tacoma-Bellevue, WA",0.0332451863902762,NA,NA,0.0416593243399508,0.0188227337890584
